case_id,created_by,created_date,document_type,date_on_document,client_1_name,client_1_email,client_1_phone,client_2_name,client_2_email,client_2_phone,application_type,application_fee,add_taxes,amount_1,date_1,amount_2,date_2,amount_3,date_3,amount_4,date_4,amount_5,date_5,amount_6,date_6,amount_7,date_7,amount_8,date_8,amount_9,date_9,amount_10,date_10,amount_11,date_11,amount_12,date_12
202407-009,FARABI-AMCAIM,2024-Jul-22 11:48 AM,Retainer Agreement,Jul 22_2024,Manuel Fulton,manuelfulton@gmail.com,+1 (204) 870-7491,Andrew Taylor,andrewtaylor@gmail.com,+1 (431) 997-9803,EOI,1100.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,,
202407-010,FARABI-AMCAIM,2024-Jul-22 12:43 PM,Retainer Agreement,Jul 22_2024,Alexander Kilberg,alexanderkilberg@gmail.com,+1 (431) 287-3896,Marisela Suggs,mariselasuggs@gmail.com,+1 (431) 646-8972,EOI,500.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,,,,,,,,,,,,,,
202407-011,FARABI-AMCAIM,2024-Jul-22 12:43 PM,Retainer Agreement,Jul 22_2024,Janine Garcia,janinegarcia@gmail.com,+1 (431) 433-2290,Charles Johnson,charlesjohnson@gmail.com,+1 (204) 491-1266,EOI,300.0,Yes,100.0,Jul 22_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,,,,,,,,,,,,,,,,,,
202407-011,FARABI-AMCAIM,2024-Jul-22 12:44 PM,Retainer Agreement,Jul 22_2024,Janine Garcia,janinegarcia@gmail.com,+1 (431) 433-2290,Charles Johnson,charlesjohnson@gmail.com,+1 (204) 491-1266,EOI,300.0,Yes,100.0,Jul 22_2024,100.0,Jan 2_2025,100.0,Jan 3_2025,,,,,,,,,,,,,,,,,,
202407-012,FARABI-AMCAIM,2024-Jul-22 12:45 PM,Retainer Agreement,Jul 22_2024,Latesha Lannier,lateshalannier@gmail.com,+1 (431) 823-9689,Derrick Halvorson,derrickhalvorson@gmail.com,+1 (431) 385-3033,EOI,800.0,Yes,100.0,Jul 22_2024,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,,,,,,,,
202407-013,FARABI-AMCAIM,2024-Jul-22 12:47 PM,Retainer Agreement,Jul 22_2024,Roberta Sommerfeld,robertasommerfeld@gmail.com,+1 (431) 647-9995,Maria Howard,mariahoward@gmail.com,+1 (204) 351-5804,EOI,1000.0,Yes,100.0,Jun 22_2024,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,,,,
202407-013,FARABI-AMCAIM,2024-Jul-22 12:47 PM,Retainer Agreement,Jul 22_2024,Roberta Sommerfeld,robertasommerfeld@gmail.com,+1 (431) 647-9995,Maria Howard,mariahoward@gmail.com,+1 (204) 351-5804,EOI,1000.0,Yes,100.0,Jul 22_2024,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,,,,
202407-014,FARABI-AMCAIM,2024-Jul-22 12:49 PM,Retainer Agreement,Jul 22_2024,Michael Gordon,michaelgordon@gmail.com,+1 (431) 907-1321,Thomas Sears,thomassears@gmail.com,+1 (431) 200-7597,EOI,1200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,100.0,Jul 33_2024
202407-015,FARABI-AMCAIM,2024-Jul-22 12:50 PM,Retainer Agreement,Jul 22_2024,Marilyn King,marilynking@gmail.com,+1 (204) 168-9028,Jacqueline Yanez,jacquelineyanez@gmail.com,+1 (204) 643-2043,EOI,1000.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,,,,
202407-016,FARABI-AMCAIM,2024-Jul-22 12:56 PM,Retainer Agreement,Jul 22_2024,Marvin Lawson,marvinlawson@gmail.com,+1 (431) 638-1392,Timothy Kent,timothykent@gmail.com,+1 (431) 516-5434,EOI,1200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,100.0,Jul 33_2024
202407-017,FARABI-AMCAIM,2024-Jul-22 12:56 PM,Retainer Agreement,Jul 22_2024,Richard Locket,richardlocket@gmail.com,+1 (204) 194-8686,Robert Berger,robertberger@gmail.com,+1 (431) 702-7800,EOI,1200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,100.0,Jul 33_2024
202407-018,FARABI-AMCAIM,2024-Jul-22 12:57 PM,Retainer Agreement,Jul 22_2024,Everette Garza,everettegarza@gmail.com,+1 (204) 455-7860,Joe Macky,joemacky@gmail.com,+1 (431) 678-7923,EOI,1200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,100.0,Jul 33_2024
202407-019,FARABI-AMCAIM,2024-Jul-22 01:01 PM,Retainer Agreement,Jul 22_2024,Jackie Dougherty,jackiedougherty@gmail.com,+1 (204) 365-7808,Christopher Elliott,christopherelliott@gmail.com,+1 (204) 380-6350,EOI,100.0,Yes,100.0,Jul 22_2024,,,,,,,,,,,,,,,,,,,,,,
202407-020,FARABI-AMCAIM,2024-Jul-22 01:05 PM,Retainer Agreement,Jul 22_2024,Arnold Daugherty,arnolddaugherty@gmail.com,+1 (204) 307-2642,Lynn Larsen,lynnlarsen@gmail.com,+1 (204) 639-9414,EOI,1100.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,,
202407-021,FARABI-AMCAIM,2024-Jul-22 02:03 PM,Retainer Agreement,Jul 22_2024,Wanda (test) Lewis (test),wandalewis@gmail.com,+1 (204) 607-3272,Elaine (test) Nguyen (test),elainenguyen@gmail.com,+1 (431) 136-6345,EOI,300.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,,,,,,,,,,,,,,,,,,
202407-022,FARABI-AMCAIM,2024-Jul-22 02:04 PM,Retainer Agreement,Jul 22_2024,Ryan (test) Koch (test),ryankoch@gmail.com,+1 (431) 741-6640,Albert (test) Faulds (test),albertfaulds@gmail.com,+1 (204) 814-4259,EOI,100.0,Yes,100.0,Jul 22_2024,,,,,,,,,,,,,,,,,,,,,,
202407-023,ASCII-13700K,2024-Jul-22 08:15 PM,Retainer Agreement,Jul 22_2024,Jeanette (test) Pedigo (test),jeanettepedigo@gmail.com,+1 (204) 733-3561,Patsy (test) Raby (test),patsyraby@gmail.com,+1 (204) 800-7104,EOI,400.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,,,,,,,,,,,,,,,,
202407-024,ASCII-13700K,2024-Jul-22 09:38 PM,Retainer Agreement,Jul 22_2024,Jessica (test) Roberts (test),jessicaroberts@gmail.com,+1 (204) 169-3402,James (test) Wiegand (test),jameswiegand@gmail.com,+1 (204) 187-9228,EOI,900.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,,,,,,
202407-024,ASCII-13700K,2024-Jul-22 09:38 PM,Retainer Agreement,Jul 22_2024,Jessica (test) Roberts (test),jessicaroberts@gmail.com,+1 (204) 169-3402,James (test) Wiegand (test),jameswiegand@gmail.com,+1 (204) 187-9228,EOI,900.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,,,,,,
202407-025,ASCII-13700K,2024-Jul-22 09:38 PM,Retainer Agreement,Jul 22_2024,Karla (test) Inks (test),karlainks@gmail.com,+1 (204) 526-8752,Mark (test) Stiffler (test),markstiffler@gmail.com,+1 (204) 559-8861,EOI,700.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,,,,,,,,,,
202407-026,ASCII-13700K,2024-Jul-22 09:39 PM,Retainer Agreement,Jul 22_2024,Rae (test) Haile (test),raehaile@gmail.com,+1 (204) 916-5804,Marie (test) Battee (test),mariebattee@gmail.com,+1 (204) 617-5962,EOI,300.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,,,,,,,,,,,,,,,,,,
202407-026,ASCII-13700K,2024-Jul-22 09:39 PM,Retainer Agreement,Jul 22_2024,Rae (test) Haile (test),raehaile@gmail.com,+1 (204) 916-5804,Marie (test) Battee (test),mariebattee@gmail.com,+1 (204) 617-5962,EOI,300.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,,,,,,,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:41 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-027,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Donald (test) Marquardt (test),donaldmarquardt@gmail.com,+1 (204) 720-3317,Tod (test) Hamilton (test),todhamilton@gmail.com,+1 (204) 263-1994,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:42 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:43 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:44 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:44 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-028,ASCII-13700K,2024-Jul-22 09:44 PM,Retainer Agreement,Jul 22_2024,Rafaela (test) Brookes (test),rafaelabrookes@gmail.com,+1 (204) 804-5450,John (test) Desbiens (test),johndesbiens@gmail.com,+1 (204) 102-1894,EOI,200.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,,,,,,,,,,,,,,,,,,,,
202407-029,ASCII-13700K,2024-Jul-22 09:45 PM,Retainer Agreement,Jul 22_2024,Shannon (test) Smith (test),shannonsmith@gmail.com,+1 (204) 484-9611,Wade (test) Aguilar (test),wadeaguilar@gmail.com,+1 (204) 566-7002,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-029,ASCII-13700K,2024-Jul-22 09:45 PM,Retainer Agreement,Jul 22_2024,Shannon (test) Smith (test),shannonsmith@gmail.com,+1 (204) 484-9611,Wade (test) Aguilar (test),wadeaguilar@gmail.com,+1 (204) 566-7002,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-029,ASCII-13700K,2024-Jul-22 09:45 PM,Retainer Agreement,Jul 22_2024,Shannon (test) Smith (test),shannonsmith@gmail.com,+1 (204) 484-9611,Wade (test) Aguilar (test),wadeaguilar@gmail.com,+1 (204) 566-7002,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-029,ASCII-13700K,2024-Jul-22 09:45 PM,Retainer Agreement,Jul 22_2024,Shannon (test) Smith (test),shannonsmith@gmail.com,+1 (204) 484-9611,Wade (test) Aguilar (test),wadeaguilar@gmail.com,+1 (204) 566-7002,EOI,600.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,,,,,,,,,,,,
202407-030,ASCII-13700K,2024-Jul-22 09:46 PM,Retainer Agreement,Jul 22_2024,Joseph (test) Gaskins (test),josephgaskins@gmail.com,+1 (204) 810-4574,Mathew (test) Weng (test),mathewweng@gmail.com,+1 (431) 450-9530,EOI,500.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,,,,,,,,,,,,,,
202407-031,ASCII-13700K,2024-Jul-22 09:47 PM,Retainer Agreement,Jul 22_2024,Michelle (test) Salas (test),michellesalas@gmail.com,+1 (204) 157-7219,Danny (test) Bailey (test),dannybailey@gmail.com,+1 (204) 557-4454,EOI,1100.0,Yes,100.0,Jul 22_2024,100.0,Jul 23_2024,100.0,Jul 24_2024,100.0,Jul 25_2024,100.0,Jul 26_2024,100.0,Jul 27_2024,100.0,Jul 28_2024,100.0,Jul 29_2024,100.0,Jul 30_2024,100.0,Jul 31_2024,100.0,Jul 32_2024,,
